ecoregion,lfp_cat,kelp_area_km2,pct_area
Malvinas/Falklands,None,526.5739101059792,1
Namaqua,None,18.58135444266643,0.7566107453572719
Namaqua,Less,2.425952342685568,0.09878190612337043
Namaqua,Moderately,1.2536943946486663,0.05104895088849307
Namaqua,Heavily,0.28176162918212044,0.011472999824977853
Namaqua,Most,2.0159082864706432,0.0820853978058867
North American Pacific Fijordland,None,162.18711805912127,0.8912844581029679
North American Pacific Fijordland,Least,5.394622506791713,0.029645654076442967
North American Pacific Fijordland,Less,7.337229519480864,0.04032107305750243
North American Pacific Fijordland,Moderately,2.4852262422762643,0.013657333277252244
North American Pacific Fijordland,Heavily,1.6683905723708405,0.009168487639428874
North American Pacific Fijordland,Most,2.8975087126710464,0.015922993846405567
North Patagonian Gulfs,None,4.2786529924573555,0.41519793740908634
North Patagonian Gulfs,Least,0.5263453077365656,0.05107623509605073
North Patagonian Gulfs,Moderately,5.500093818415722,0.533725827494863
Northern California,None,63.446937137182104,0.3106112949763704
Northern California,Least,65.85699130524206,0.32240997399669463
Northern California,Less,35.29784474201689,0.17280438993433306
Northern California,Moderately,4.235981522674256,0.02073770249001912
Northern California,Heavily,9.842238925878732,0.04818373772124078
Northern California,Most,25.584751929490395,0.12525290088134194
"Oregon, Washington, Vancouver Coast and Shelf",None,21.187632209440967,0.75770013083359
"Oregon, Washington, Vancouver Coast and Shelf",Less,6.025577551281916,0.21548329958832685
"Oregon, Washington, Vancouver Coast and Shelf",Moderately,0.07956056885724067,0.0028452001071391387
"Oregon, Washington, Vancouver Coast and Shelf",Most,0.6703134119143105,0.023971369470944012
Patagonian Shelf,None,64.55278033751243,0.6191418199512788
Patagonian Shelf,Moderately,39.70892232471799,0.3808581800487212
Prince Edward Islands,None,0.019583265378183015,0.006868477434503046
Prince Edward Islands,Most,2.8315967180936448,0.993131522565497
Puget Trough/Georgia Basin,None,9.881950060283843,0.7199669355907392
Puget Trough/Georgia Basin,Least,1.2289761787162574,0.08953923141754325
Puget Trough/Georgia Basin,Less,0.3755977396243947,0.02736483709819684
Puget Trough/Georgia Basin,Moderately,2.1186919225869945,0.15436104429392306
Puget Trough/Georgia Basin,Heavily,0.0123592743579666,9.004567753679606e-4
Puget Trough/Georgia Basin,Most,0.10798577977582936,0.007867494824229779
South Georgia,Most,8.12185536305357,1
South New Zealand,None,2.7593834277285776,0.7922458423376796
South New Zealand,Moderately,0.5923202462659992,0.1700609084337904
South New Zealand,Most,0.13128516642201135,0.037693249228530054
Southern California Bight,None,177.20940199500515,0.6224305189774713
Southern California Bight,Least,49.78843056934591,0.17487694405303197
Southern California Bight,Less,0.05991778324599862,2.1045529470743173e-4
Southern California Bight,Moderately,41.556677085677244,0.14596372311073166
Southern California Bight,Heavily,3.4348459408464738,0.012064557057920616
Southern California Bight,Most,12.656242489922516,0.04445380150613698
Tristan Gough,None,0.8684332418202166,1
Western Bassian,None,0.4992147354994899,0.8669932163718589
Western Bassian,Less,0.06872610295014307,0.11935758463906346
Western Bassian,Most,0.007859209431449337,0.01364919898907766
